date	event	count
4/11/2005	content.delete	793
4/11/2005	content.new	3769
4/11/2005	content.read	94024
4/11/2005	content.revise	371
4/12/2005	content.delete	957
4/12/2005	content.new	6419
4/12/2005	content.read	94577
4/12/2005	content.revise	298
4/13/2005	content.delete	331
4/13/2005	content.new	3453
4/13/2005	content.read	82790
4/13/2005	content.revise	357
4/14/2005	content.delete	379
4/14/2005	content.new	5421
4/14/2005	content.read	82155
4/14/2005	content.revise	268
4/15/2005	content.delete	358
4/15/2005	content.new	3438
4/15/2005	content.read	67395
4/15/2005	content.revise	301
4/16/2005	content.delete	227
4/16/2005	content.new	1546
4/16/2005	content.read	51383
4/16/2005	content.revise	154
4/17/2005	content.delete	436
4/17/2005	content.new	1966
4/17/2005	content.read	74858
4/17/2005	content.revise	202
4/18/2005	content.delete	489
4/18/2005	content.new	4908
4/18/2005	content.read	123660
4/18/2005	content.revise	324
4/19/2005	content.delete	218
4/19/2005	content.new	3767
4/19/2005	content.read	109606
4/19/2005	content.revise	223
4/20/2005	content.delete	375
4/20/2005	content.new	3546
4/20/2005	content.read	77305
4/20/2005	content.revise	282
4/21/2005	content.delete	228
4/21/2005	content.new	2506
4/21/2005	content.read	85818
4/21/2005	content.revise	269
4/22/2005	content.delete	261
4/22/2005	content.new	2674
4/22/2005	content.read	73926
4/22/2005	content.revise	241
4/23/2005	content.delete	109
4/23/2005	content.new	943
4/23/2005	content.read	56239
4/23/2005	content.revise	180
4/24/2005	content.delete	149
4/24/2005	content.new	1325
4/24/2005	content.read	69166
4/24/2005	content.revise	165
4/25/2005	content.delete	291
4/25/2005	content.new	2454
4/25/2005	content.read	102030
4/25/2005	content.revise	176
4/26/2005	content.delete	330
4/26/2005	content.new	2623
4/26/2005	content.read	92154
4/26/2005	content.revise	272
4/27/2005	content.new	15
4/27/2005	content.read	12194
4/27/2005	content.revise	1
0000-00-00	content.read	3
