SQL> SELECT TO_CHAR(event_date,'YYYY-MM-DD HH24')||':00:00' AS event_hour, event AS event_name, COUNT(*) AS event_count
  2  FROM chef_event_archive
  3  WHERE
  4  event_date >= '01-JAN-05' AND event_date <= '01-FEB-05'
  5  AND (event='content.read' OR event='content.new' OR event='content.revise' or event='content.delete')
  6  AND ref NOT LIKE '/content/public/%'
  7  GROUP BY TO_CHAR(event_date,'YYYY-MM-DD HH24'), event
  8  ORDER BY event_hour, event_name;

EVENT_HOUR          EVENT_NAME                       EVENT_COUNT                
------------------- -------------------------------- -----------                
2005-01-03 13:00:00 content.revise                            15                
2005-01-03 14:00:00 content.delete                            34                
2005-01-03 14:00:00 content.new                              106                
2005-01-03 14:00:00 content.read                             354                
2005-01-03 14:00:00 content.revise                            20                
2005-01-03 15:00:00 content.delete                            16                
2005-01-03 15:00:00 content.new                              114                
2005-01-03 15:00:00 content.read                             187                
2005-01-03 15:00:00 content.revise                            27                
2005-01-03 16:00:00 content.delete                            59                
2005-01-03 16:00:00 content.new                              257                
2005-01-03 16:00:00 content.read                             750                
2005-01-03 16:00:00 content.revise                            19                
2005-01-03 17:00:00 content.delete                           221                
2005-01-03 17:00:00 content.new                              286                
2005-01-03 17:00:00 content.read                            1060                
2005-01-03 17:00:00 content.revise                            43                
2005-01-03 18:00:00 content.delete                            81                
2005-01-03 18:00:00 content.new                              437                
2005-01-03 18:00:00 content.read                            1175                
2005-01-03 18:00:00 content.revise                            20                
2005-01-03 19:00:00 content.delete                           328                
2005-01-03 19:00:00 content.new                              598                
2005-01-03 19:00:00 content.read                             848                
2005-01-03 19:00:00 content.revise                            41                
2005-01-03 20:00:00 content.delete                            41                
2005-01-03 20:00:00 content.new                              248                
2005-01-03 20:00:00 content.read                            1021                
2005-01-03 20:00:00 content.revise                            17                
2005-01-03 21:00:00 content.delete                            64                
2005-01-03 21:00:00 content.new                              250                
2005-01-03 21:00:00 content.read                             780                
2005-01-03 21:00:00 content.revise                            22                
2005-01-03 22:00:00 content.delete                            45                
2005-01-03 22:00:00 content.new                              124                
2005-01-03 22:00:00 content.read                             795                
2005-01-03 22:00:00 content.revise                            35                
2005-01-03 23:00:00 content.delete                            16                
2005-01-03 23:00:00 content.new                               45                
2005-01-03 23:00:00 content.read                             598                
2005-01-03 23:00:00 content.revise                            14                
2005-01-04 00:00:00 content.delete                             1                
2005-01-04 00:00:00 content.new                               47                
2005-01-04 00:00:00 content.read                             762                
2005-01-04 00:00:00 content.revise                             3                
2005-01-04 01:00:00 content.delete                            11                
2005-01-04 01:00:00 content.new                               60                
2005-01-04 01:00:00 content.read                             731                
2005-01-04 01:00:00 content.revise                            22                
2005-01-04 02:00:00 content.delete                             1                
2005-01-04 02:00:00 content.new                              245                
2005-01-04 02:00:00 content.read                             480                
2005-01-04 02:00:00 content.revise                            13                
2005-01-04 03:00:00 content.delete                            16                
2005-01-04 03:00:00 content.new                               87                
2005-01-04 03:00:00 content.read                             637                
2005-01-04 03:00:00 content.revise                             4                
2005-01-04 04:00:00 content.new                               65                
2005-01-04 04:00:00 content.read                             676                
2005-01-04 05:00:00 content.delete                             1                
2005-01-04 05:00:00 content.new                               40                
2005-01-04 05:00:00 content.read                             415                
2005-01-04 05:00:00 content.revise                             4                
2005-01-04 06:00:00 content.delete                            12                
2005-01-04 06:00:00 content.new                               46                
2005-01-04 06:00:00 content.read                             213                
2005-01-04 07:00:00 content.delete                             5                
2005-01-04 07:00:00 content.new                               16                
2005-01-04 07:00:00 content.read                             134                
2005-01-04 08:00:00 content.new                               14                
2005-01-04 08:00:00 content.read                              81                
2005-01-04 08:00:00 content.revise                             4                
2005-01-04 09:00:00 content.new                                6                
2005-01-04 09:00:00 content.read                              48                
2005-01-04 10:00:00 content.delete                             3                
2005-01-04 10:00:00 content.read                              15                
2005-01-04 10:00:00 content.revise                             2                
2005-01-04 11:00:00 content.delete                             7                
2005-01-04 11:00:00 content.new                               27                
2005-01-04 11:00:00 content.read                             101                
2005-01-04 11:00:00 content.revise                             3                
