SQL> SELECT TO_CHAR(event_date,'YYYY-MM-DD HH24')||':00:00' AS event_time, event AS event_name, COUNT(*) AS event_count
  2  FROM chef_event_archive
  3  WHERE
  4  event_date >= '01-JAN-05' AND event_date < '01-FEB-05'
  5  AND NOT (event='content.read' AND ref LIKE '/content/public/%')
  6  GROUP BY TO_CHAR(event_date,'YYYY-MM-DD HH24'), event
  7  ORDER BY event_time, event;

EVENT_TIME          EVENT_NAME                       EVENT_COUNT                
------------------- -------------------------------- -----------                
2005-01-01 21:00:00 mail.new                                   1                
2005-01-01 21:00:00 realm.add                                  4                
2005-01-01 21:00:00 realm.upd                                  4                
2005-01-01 21:00:00 site.add                                   1                
2005-01-01 21:00:00 site.upd                                   9                
2005-01-01 21:00:00 user.login                                92                
2005-01-01 21:00:00 user.logout                               86                
2005-01-01 21:00:00                                            8                
2005-01-01 22:00:00 alias.add                                  2                
2005-01-01 22:00:00 alias.del                                  2                
2005-01-01 22:00:00 annc.new                                   1                
2005-01-01 22:00:00 annc.revise.own                            2                
2005-01-01 22:00:00 calendar.revise                            1                
2005-01-01 22:00:00 content.delete                             4                
2005-01-01 22:00:00 content.new                               51                
2005-01-01 22:00:00 content.read                             129                
2005-01-01 22:00:00 content.revise                             4                
2005-01-01 22:00:00 prefs.upd                                  1                
2005-01-01 22:00:00 realm.add                                  3                
2005-01-01 22:00:00 realm.upd                                  3                
2005-01-01 22:00:00 site.upd                                   8                
2005-01-01 22:00:00 user.login                                71                
2005-01-01 22:00:00 user.logout                               72                
2005-01-01 23:00:00 annc.new                                   5                
2005-01-01 23:00:00 calendar.new                               4                
2005-01-01 23:00:00 calendar.revise                           10                
2005-01-01 23:00:00 chat.new                                   1                
2005-01-01 23:00:00 content.delete                            26                
2005-01-01 23:00:00 content.new                               57                
2005-01-01 23:00:00 content.read                             259                
2005-01-01 23:00:00 content.revise                             6                
2005-01-01 23:00:00 dis.path.add                               1                
2005-01-01 23:00:00 dis.path.del                               1                
2005-01-01 23:00:00 dis.status.add                            78                
2005-01-01 23:00:00 dis.status.del                            78                
2005-01-01 23:00:00 disc.new                                   3                
2005-01-01 23:00:00 mail.new                                   3                
2005-01-01 23:00:00 realm.add                                  8                
2005-01-01 23:00:00 realm.del                                  1                
2005-01-01 23:00:00 realm.upd                                  7                
2005-01-01 23:00:00 site.add                                   6                
2005-01-01 23:00:00 site.upd                                  10                
2005-01-01 23:00:00 user.login                                94                
2005-01-01 23:00:00 user.logout                               91                
2005-01-01 23:00:00                                           39                
2005-01-02 00:00:00 annc.new                                   4                
2005-01-02 00:00:00 asn.submit.submission                     71                
2005-01-02 00:00:00 calendar.revise                            3                
2005-01-02 00:00:00 content.delete                             5                
2005-01-02 00:00:00 content.new                               33                
2005-01-02 00:00:00 content.read                             140                
2005-01-02 00:00:00 content.revise                             8                
2005-01-02 00:00:00 realm.add                                  3                
2005-01-02 00:00:00 realm.del                                  1                
2005-01-02 00:00:00 site.upd                                   2                
2005-01-02 00:00:00 user.login                                74                
2005-01-02 00:00:00 user.logout                               77                
2005-01-02 01:00:00 annc.new                                   3                
2005-01-02 01:00:00 asn.submit.submission                     56                
2005-01-02 01:00:00 calendar.new                               1                
2005-01-02 01:00:00 content.new                               18                
2005-01-02 01:00:00 content.read                             160                
2005-01-02 01:00:00 content.revise                             3                
2005-01-02 01:00:00 realm.add                                  1                
2005-01-02 01:00:00 realm.del                                  1                
2005-01-02 01:00:00 site.add                                   1                
2005-01-02 01:00:00 site.del                                   1                
2005-01-02 01:00:00 site.upd                                   2                
2005-01-02 01:00:00 user.login                                59                
2005-01-02 01:00:00 user.logout                               65                
2005-01-02 02:00:00 annc.new                                   4                
2005-01-02 02:00:00 asn.submit.submission                      2                
2005-01-02 02:00:00 calendar.new                               3                
2005-01-02 02:00:00 content.delete                             4                
2005-01-02 02:00:00 content.new                               21                
2005-01-02 02:00:00 content.read                             143                
2005-01-02 02:00:00 digest.upd                                19                
2005-01-02 02:00:00 mail.new                                  10                
2005-01-02 02:00:00 realm.add                                  6                
2005-01-02 02:00:00 realm.del                                  1                
2005-01-02 02:00:00 realm.upd                                  6                
2005-01-02 02:00:00 site.add                                   6                
2005-01-02 02:00:00 user.login                               116                
2005-01-02 02:00:00 user.logout                              107                
2005-01-02 02:00:00                                            1                
2005-01-02 03:00:00 annc.new                                   3                
2005-01-02 03:00:00 asn.new.assignment                         1                
2005-01-02 03:00:00 asn.new.assignmentcontent                  1                
2005-01-02 03:00:00 calendar.new                               3                
2005-01-02 03:00:00 calendar.revise                            9                
2005-01-02 03:00:00 chat.new                                   1                
2005-01-02 03:00:00 content.delete                           205                
2005-01-02 03:00:00 content.new                              147                
2005-01-02 03:00:00 content.read                             165                
2005-01-02 03:00:00 content.revise                             5                
2005-01-02 03:00:00 digest.upd                                 1                
2005-01-02 03:00:00 mail.new                                   3                
2005-01-02 03:00:00 realm.add                                  5                
2005-01-02 03:00:00 realm.del                                  6                
2005-01-02 03:00:00 realm.upd                                  6                
2005-01-02 03:00:00 site.add                                   4                
2005-01-02 03:00:00 site.del                                   3                
2005-01-02 03:00:00 site.upd                                   3                
2005-01-02 03:00:00 user.login                               106                
2005-01-02 03:00:00 user.logout                              112                
2005-01-02 04:00:00 alias.add                                  3                
2005-01-02 04:00:00 alias.del                                  3                
2005-01-02 04:00:00 asn.save.submission                        1                
2005-01-02 04:00:00 asn.submit.submission                      1                
2005-01-02 04:00:00 content.delete                            11                
2005-01-02 04:00:00 content.new                               37                
2005-01-02 04:00:00 content.read                             137                
2005-01-02 04:00:00 content.revise                             5                
2005-01-02 04:00:00 mail.new                                   1                
2005-01-02 04:00:00 realm.add                                  5                
2005-01-02 04:00:00 realm.del                                  2                
2005-01-02 04:00:00 realm.upd                                  2                
2005-01-02 04:00:00 site.add                                   1                
2005-01-02 04:00:00 site.del                                   2                
2005-01-02 04:00:00 site.upd                                  12                
2005-01-02 04:00:00 user.login                                99                
2005-01-02 04:00:00 user.logout                               95                
2005-01-02 05:00:00 annc.new                                   3                
2005-01-02 05:00:00 calendar.new                               3                
2005-01-02 05:00:00 chat.new                                   2                
2005-01-02 05:00:00 content.delete                             2                
2005-01-02 05:00:00 content.new                               42                
2005-01-02 05:00:00 content.read                              44                
2005-01-02 05:00:00 content.revise                             1                
2005-01-02 05:00:00 digest.del                                 3                
2005-01-02 05:00:00 disc.new                                   2                
2005-01-02 05:00:00 mail.new                                   2                
2005-01-02 05:00:00 realm.add                                  3                
2005-01-02 05:00:00 realm.del                                  2                
2005-01-02 05:00:00 realm.upd                                  3                
2005-01-02 05:00:00 realm.upd.own                              1                
2005-01-02 05:00:00 site.add                                   3                
2005-01-02 05:00:00 site.del                                   2                
2005-01-02 05:00:00 site.upd                                  10                
2005-01-02 05:00:00 user.login                                72                
2005-01-02 05:00:00 user.logout                               80                
2005-01-02 06:00:00 annc.new                                   1                
2005-01-02 06:00:00 calendar.revise                            5                
2005-01-02 06:00:00 chat.new                                   1                
2005-01-02 06:00:00 content.new                                2                
2005-01-02 06:00:00 content.read                              47                
2005-01-02 06:00:00 realm.add                                  2                
2005-01-02 06:00:00 realm.upd                                  1                
2005-01-02 06:00:00 site.add                                   2                
2005-01-02 06:00:00 site.upd                                  11                
2005-01-02 06:00:00 user.login                                49                
2005-01-02 06:00:00 user.logout                               58                
2005-01-02 07:00:00 annc.new                                   2                
2005-01-02 07:00:00 asn.new.assignment                         1                
2005-01-02 07:00:00 asn.new.assignmentcontent                  1                
2005-01-02 07:00:00 calendar.revise                            1                
2005-01-02 07:00:00 content.new                               14                
2005-01-02 07:00:00 content.read                              45                
2005-01-02 07:00:00 disc.new                                   1                
2005-01-02 07:00:00 mail.new                                   1                
2005-01-02 07:00:00 realm.add                                  2                
2005-01-02 07:00:00 realm.upd                                  1                
2005-01-02 07:00:00 site.add                                   1                
2005-01-02 07:00:00 site.upd                                   7                
2005-01-02 07:00:00 user.login                                29                
2005-01-02 07:00:00 user.logout                               27                
2005-01-02 08:00:00 annc.new                                   1                
2005-01-02 08:00:00 content.delete                             3                
2005-01-02 08:00:00 content.new                                8                
2005-01-02 08:00:00 content.read                              23                
2005-01-02 08:00:00 realm.add                                  1                
2005-01-02 08:00:00 realm.del                                  1                
2005-01-02 08:00:00 user.login                                22                
2005-01-02 08:00:00 user.logout                               24                
2005-01-02 09:00:00 annc.new                                   1                
2005-01-02 09:00:00 content.delete                            26                
2005-01-02 09:00:00 content.new                                5                
2005-01-02 09:00:00 content.read                              15                
2005-01-02 09:00:00 mail.new                                   1                
2005-01-02 09:00:00 realm.add                                  1                
2005-01-02 09:00:00 site.upd                                   1                
2005-01-02 09:00:00 user.login                                10                
2005-01-02 09:00:00 user.logout                               12                
2005-01-02 10:00:00 content.read                               3                
2005-01-02 10:00:00 user.login                                 7                
2005-01-02 10:00:00 user.logout                               28                
2005-01-02 11:00:00 content.new                                2                
2005-01-02 11:00:00 content.read                               7                
2005-01-02 11:00:00 mail.new                                   1                
2005-01-02 11:00:00 user.login                                 8                
2005-01-02 11:00:00 user.logout                                7                
2005-01-02 12:00:00 annc.new                                   1                
2005-01-02 12:00:00 content.delete                             2                
2005-01-02 12:00:00 content.new                                3                
2005-01-02 12:00:00 content.read                              62                
2005-01-02 12:00:00 content.revise                             2                
2005-01-02 12:00:00 realm.del                                  1                
2005-01-02 12:00:00 site.upd                                   2                
2005-01-02 12:00:00 user.login                                10                
2005-01-02 12:00:00 user.logout                                9                
2005-01-02 13:00:00 annc.new                                   3                
2005-01-02 13:00:00 calendar.new                               3                
2005-01-02 13:00:00 calendar.revise                            1                
2005-01-02 13:00:00 content.delete                             2                
2005-01-02 13:00:00 content.new                                9                
2005-01-02 13:00:00 content.read                              29                
2005-01-02 13:00:00 content.revise                             8                
2005-01-02 13:00:00 disc.new                                   3                
2005-01-02 13:00:00 realm.add                                  1                
2005-01-02 13:00:00 realm.upd.own                              3                
2005-01-02 13:00:00 site.upd                                  14                
2005-01-02 13:00:00 user.login                                30                
2005-01-02 13:00:00 user.logout                               23                
2005-01-02 14:00:00 annc.delete.any                            1                
2005-01-02 14:00:00 annc.new                                   3                
2005-01-02 14:00:00 asn.new.assignment                         1                
2005-01-02 14:00:00 asn.new.assignmentcontent                  1                
2005-01-02 14:00:00 calendar.new                               2                
2005-01-02 14:00:00 calendar.revise                            8                
2005-01-02 14:00:00 content.new                               16                
2005-01-02 14:00:00 content.read                              57                
2005-01-02 14:00:00 realm.add                                  4                
2005-01-02 14:00:00 realm.del                                  1                
2005-01-02 14:00:00 realm.upd.own                              6                
2005-01-02 14:00:00 site.add                                   2                
2005-01-02 14:00:00 user.login                                61                
2005-01-02 14:00:00 user.logout                               51                
2005-01-02 15:00:00 alias.add                                  1                
2005-01-02 15:00:00 alias.del                                  2                
2005-01-02 15:00:00 annc.new                                   5                
2005-01-02 15:00:00 asn.revise.assignment                      2                
2005-01-02 15:00:00 asn.revise.assignmentcontent               1                
