SQL> SELECT TO_CHAR(session_start,'YYYY-MM-DD HH24')||':00:00' AS session_hour, COUNT(*) AS session_count
  2  FROM chef_session_archive
  3  WHERE session_start <> session_end AND session_end > session_start
  4  AND session_start >= '01-JAN-05' AND session_start <= '01-FEB-05'
  5  GROUP BY TO_CHAR(session_start,'YYYY-MM-DD HH24')
  6  ORDER BY session_hour;

SESSION_HOUR        SESSION_COUNT                                               
------------------- -------------                                               
2005-01-03 20:00:00           485                                               
2005-01-03 21:00:00           432                                               
2005-01-03 22:00:00           390                                               
2005-01-03 23:00:00           343                                               
2005-01-04 00:00:00           334                                               
2005-01-04 01:00:00           331                                               
2005-01-04 02:00:00           293                                               
2005-01-04 03:00:00           324                                               
2005-01-04 04:00:00           263                                               
2005-01-04 05:00:00           218                                               
2005-01-04 06:00:00           155                                               
2005-01-04 07:00:00            88                                               
2005-01-04 08:00:00            39                                               
2005-01-04 09:00:00            36                                               
2005-01-04 10:00:00             9                                               
2005-01-04 11:00:00            34                                               
2005-01-04 12:00:00            94                                               
2005-01-04 13:00:00           211                                               
2005-01-04 14:00:00           398                                               
2005-01-04 15:00:00           505                                               
2005-01-04 16:00:00           591                                               
2005-01-04 17:00:00           624                                               
2005-01-04 18:00:00           709                                               
2005-01-04 19:00:00           714                                               
2005-01-04 20:00:00           797                                               
2005-01-04 21:00:00           869                                               
2005-01-04 22:00:00           696                                               
2005-01-04 23:00:00           652                                               
2005-01-05 00:00:00           644                                               
2005-01-05 01:00:00           708                                               
2005-01-05 02:00:00           677                                               
2005-01-05 03:00:00          1034                                               
2005-01-05 04:00:00           653                                               
2005-01-05 05:00:00           543                                               
2005-01-05 06:00:00           276                                               
2005-01-05 07:00:00           122                                               
2005-01-05 08:00:00            66                                               
2005-01-05 09:00:00            27                                               
2005-01-05 10:00:00            30                                               
2005-01-05 11:00:00            58                                               
2005-01-05 12:00:00           200                                               
2005-01-05 13:00:00           643                                               
2005-01-05 14:00:00           809                                               
2005-01-05 15:00:00          1139                                               
2005-01-05 16:00:00          1322                                               
2005-01-05 17:00:00          1249                                               
2005-01-05 18:00:00          1251                                               
2005-01-05 19:00:00          1381                                               
2005-01-05 20:00:00          1378                                               
2005-01-05 21:00:00          1446                                               
2005-01-05 22:00:00          1115                                               
2005-01-05 23:00:00          1037                                               
2005-01-06 00:00:00          1034                                               
2005-01-06 01:00:00           976                                               
2005-01-06 02:00:00           881                                               
2005-01-06 03:00:00           832                                               
2005-01-06 04:00:00           866                                               
2005-01-06 05:00:00           439                                               
2005-01-06 06:00:00           262                                               
2005-01-06 07:00:00           117                                               
2005-01-06 08:00:00            42                                               
2005-01-06 09:00:00            18                                               
2005-01-06 10:00:00            21                                               
2005-01-06 11:00:00            59                                               
2005-01-06 12:00:00           194                                               
2005-01-06 13:00:00           523                                               
2005-01-06 14:00:00           767                                               
2005-01-06 15:00:00          1069                                               
2005-01-06 16:00:00          1314                                               
2005-01-06 17:00:00          1501                                               
2005-01-06 18:00:00          1302                                               
2005-01-06 19:00:00          1479                                               
2005-01-06 20:00:00          1428                                               
